Education;Income;Kidhome;Teenhome;Recency;Wines;Fruits;Meat;Fish;Sweets;Gold;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;Age;Spent;Children;Family_Size;Is_Parent
2;10245.0;1;0;32;4;7;7;6;4;13;3;1;2;2;5;50;41;1;2;1
2;38547.0;1;0;49;6;1;10;0;1;4;1;1;0;2;8;40;22;1;3;1
1;35688.0;2;1;94;73;3;90;12;1;32;7;4;1;4;8;48;211;3;5;1
3;82800.0;0;0;23;1006;22;115;59;68;45;1;7;6;12;3;75;1315;0;1;0
1;62466.0;0;1;13;129;129;259;168;121;83;5;6;3;12;4;51;889;1;3;1
3;30560.0;1;0;6;9;1;5;4;5;7;1;1;0;3;7;45;31;1;3;1
2;48789.0;0;0;94;351;16;156;7;5;145;1;6;4;7;6;29;680;0;1;0
3;92163.0;0;0;25;817;183;797;106;163;20;0;5;11;5;2;46;2086;0;2;0
3;68117.0;0;1;80;618;44;215;0;17;36;2;11;8;4;6;74;930;1;2;1
2;44392.0;1;1;71;87;5;71;7;12;29;5;4;1;4;7;47;211;2;4;1
2;82025.0;0;0;76;267;98;606;48;70;98;1;3;2;6;1;38;1187;0;1;0
1;15716.0;1;0;8;16;5;30;8;7;26;3;3;0;4;8;33;92;1;3;1
3;55517.0;1;1;53;483;0;108;0;6;36;5;11;1;6;9;71;633;2;4;1
3;45057.0;1;0;80;37;0;7;3;0;3;1;2;0;3;5;42;50;1;3;1
2;85683.0;0;0;6;1296;17;311;45;69;51;1;2;4;10;1;67;1789;0;1;0
2;84574.0;0;0;72;387;20;713;38;54;163;1;9;11;11;5;69;1375;0;1;0
1;75774.0;1;0;27;340;21;134;258;14;56;1;7;5;8;4;40;823;1;3;1
2;55914.0;0;1;32;384;60;364;119;101;232;4;11;6;8;7;46;1260;1;3;1
2;53201.0;1;1;49;280;7;81;20;0;27;8;6;3;5;7;46;415;2;3;1
2;67605.0;0;0;84;336;28;282;184;54;54;1;2;8;6;1;34;938;0;2;0
3;8820.0;1;1;52;12;0;13;4;2;4;4;3;0;3;8;69;35;2;3;1
1;36550.0;1;0;74;47;90;94;123;103;120;5;9;1;5;9;43;577;1;3;1
2;62994.0;1;0;74;224;12;48;4;12;12;1;6;2;4;6;41;312;1;3;1
1;26997.0;0;0;89;7;23;78;133;49;144;2;4;2;5;7;70;434;0;2;0
2;67445.0;0;1;63;757;80;217;29;80;11;5;9;6;12;6;47;1174;1;3;1
2;83829.0;0;0;78;897;161;430;186;161;27;0;4;7;6;1;46;1862;0;1;0
1;32218.0;0;0;27;10;24;15;13;1;30;1;2;1;3;7;61;93;0;1;0
3;49667.0;0;0;35;1181;26;120;17;13;39;2;5;10;5;8;66;1396;0;1;0
2;68118.0;0;1;51;595;23;123;10;23;154;2;8;9;4;6;58;928;1;2;1
3;64857.0;0;0;78;556;14;717;210;0;43;1;7;5;10;4;65;1540;0;1;0
2;87195.0;0;0;35;217;76;690;50;26;38;1;3;11;5;1;62;1097;0;2;0
2;25930.0;1;1;87;6;1;2;2;0;4;1;1;0;2;7;54;15;2;3;1
2;76320.0;0;1;49;526;35;214;69;53;35;2;6;3;4;2;62;932;1;2;1
1;30390.0;0;0;5;10;12;12;25;1;20;1;2;0;3;6;34;80;0;2;0
3;48948.0;0;0;53;437;8;206;160;49;42;2;7;10;5;6;78;902;0;1;0
3;34242.0;0;1;25;8;2;4;0;0;1;1;0;0;3;5;62;15;1;3;1
2;42387.0;1;0;42;235;0;235;19;4;191;5;8;1;7;8;32;684;1;3;1
2;25008.0;1;0;72;2;8;8;6;1;9;2;1;0;3;8;33;34;1;2;1
2;49160.0;0;1;29;122;21;43;25;10;15;2;3;1;6;6;72;236;1;2;1
2;38643.0;1;1;45;22;2;14;0;1;10;2;2;0;3;7;43;49;2;3;1
3;81929.0;1;0;60;1486;55;278;49;0;185;2;4;4;10;6;45;2053;1;3;1
2;55434.0;1;0;21;238;115;215;169;69;76;3;5;3;13;4;37;882;1;3;1
2;54803.0;0;1;65;404;0;92;28;27;142;2;6;2;9;4;52;693;1;2;1
3;82584.0;0;0;26;1076;68;103;29;91;68;1;3;4;8;1;47;1435;0;2;0
2;74716.0;0;1;92;133;27;421;13;195;71;2;7;3;5;4;49;860;1;3;1
2;53103.0;0;1;70;729;17;133;11;0;195;5;10;6;7;7;67;1085;1;3;1
